Kategorie;Formteil-Gruppe;GUT-Nummer;Bezeichnung;Zusatz;Menge;zugeordneter EK;Warenwert;zugeordnete R+F-Nr;R+F-Bezeichnung;R+F im Lagerauszug;richtige R+F-Nummer;Bemerkung
formteil;connect-inox / 22-28mm / gewinde;COCIUS2832ANL;CONNECT INOX HEAT Übergangsstück;"28 x 1 1/4"" AG 1.4307 CONEL";5;6,92;47;7085472283000;OptiSteel simplesta SH V Übergangsstück AG, d = 28 x R 1;ja;;
formteil;prestabo-stahl / 35mm und groesser / presse;POVT3515;Prestabo-T-Stück 35 x 15 x 35mm;Stahl unlegiert,verzinkt, Pressanschluss;4;10,51;46;7020900558932;;nein;;
formteil;"gewinde-schwarz / 1"" und groesser / gewinde";NIPS2510;"Rohrdoppelnippel Nr.23 1"" x 100mm";schwarz;31;1,01;46;0000100322582;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";3530326R;Langnippel Rotguss;"1 1/4"" x 60mm 3530";4;4,56;45;1014036306000;Doppelnippel aus RG/CuSi blank DN 25 (R 1) x 60 mm, Mode;ja;;
formteil;"gewinde-schwarz / 1"" und groesser / gewinde";NIPS2512;"Rohrdoppelnippel Nr.23 1"" x 120mm";schwarz;26;1,01;44;0000100322582;;nein;;
formteil;connect-inox / 35mm und groesser / presse;COCIRS3522NL;CONNECT INOX HEAT Reduzierstück 35x22mm;1.4307 CONEL;12;5,89;41;7085941351000;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";3530204R;Langnippel Rotguss;"3/4"" x 40mm 3530";16;3,31;39;1014036304000;Doppelnippel aus RG/CuSi blank DN 25 (R 1) x 40 mm, Mode;ja;;
formteil;unbekanntes_system / 22-28mm / gewinde;ISIV2520AT;"Anschlussverschraubung T110 25x3/4"" AG";Isiflo Messing Wasser;2;30,57;38;0631110032300;;nein;;
rohr;;CUS15H;Kupferrohr Sanco-DVGW EN 1057 15 x 1.0mm;halbhart in Stangen R250;5;6,47;37;1011960150000;IG5 SANCO-Kupferrohr blank nach EN 1057 halbhart, 15 x 1;ja;;
ventil;;KKVV1K;Kermi Kv-Einsatz V1K;f.Ventile Einbauzeitraum von 1991-1993;1;11,39;36;1036826300000;;nein;;
ungeklaert;;FPAT1820100IA;TRINNITY flex. Panzerschlauch f. Heizung;"Trinkwasser 3/4"" IG x 3/4"" AG, 1000 mm";1;28,11;34;1016302002614;;nein;;
rohr;;SPPR50100;Silent PP Rohr DN 50 mit 1 Muffe;Länge 1000mm Geberit;10;3,84;33;1009100050100;;nein;;
formteil;uponor-mlc / ohne Mass / gewinde;UCUEK2022N;Übergang Uponor auf Kupfer S-Press PLUS;MLC U 20 x 22 Cu;4;9,54;31;1029201070617;Uponor Übergang auf Kupfer S-Press PLUS 20-22CU;ja;;
formteil;"maxipro-kupfer / 1"" und groesser / presse";BMPB1645;"Bogen 45° B Maxipro 5/8"" i/i";Kupfer für Kälteanlagen;3;11,25;31;2021511045058;;nein;;
sonstiges;;VALL2409;VALL ISO-Bogen EPE/160/90;inkl. Verbinder, DN 160, 90 Grad;1;17,37;29;1015165885205;;nein;;
formteil;connect-inox / 35mm und groesser / presse;COCIT3515INL;"CONNECT INOX HEAT T-Stück 35x1/2""x35mm";1.4307 CONEL;4;14,55;29;7085929351000;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";32413215;"Reduzierstueck Rotguss 1 1/4"" x 1/2""";3241;4;5,93;27;1014200447984;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";32453225;"Doppelnippel Rotguss 1 1/4"" x 1""";3245;4;6,14;27;1014057430000;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";3530158R;"Langnippel Rotguss 1/2"" x 80mm";3530;6;7,20;26;1014036308000;Doppelnippel aus RG/CuSi blank DN 25 (R 1) x 80 mm, Mode;ja;;
ungeklaert;;CCLSTS8120;Stockschraube KLICK M8x120;I-Stern galv. verz. CONEL;100;0,47;25;1015115110000;;nein;;
ungeklaert;;FPAT182050II;TRINNITY flex. Panzerschlauch f. Heizung;"Trinkwasser 3/4"" IG x 3/4"" IG, 500mm";1;19,50;23;1016302003611;;nein;;
ungeklaert;;CCLSTS8100;Stockschraube KLICK M8x100;I-Stern galv. verz. CONEL;100;0,47;23;1015115110000;;nein;;
ventil;;OTSSV32;"Oberteil m.Handrad 1 1/4"" messing";f.Durchgangsventile;1;83,56;22;0897342032400;;nein;;
ungeklaert;;COFEL2813;CONEL FLEX EL Schlauchisolierung 50%;28 x 13mm ungeschl. Länge: 2m;12;4,05;20;1005021035020;;nein;;
sonstiges;;SPPB5088;Bogen Silent PP DN 50 87,5 Grad m.Muffe;Geberit;9;2,97;16;1009505050088;;nein;;
formteil;"gewinde-schwarz / 1"" und groesser / gewinde";241S3215;"Reduzierstueck Nr.241 1 1/4"" x 1/2""";schwarz;10;2,54;16;1012561410000;;nein;;
sonstiges;;WFBD16090;Bogen gepresst Wickelfalz vz.DN 160;90 Grad m.Dichtung;2;17,69;15;7085907540000;;nein;;
formteil;uponor-mlc / 25-32mm / gewinde;UCPW2520N;Winkelnippel Uponor S-Press PLUS;"MLC 25 x 3/4"" AG 90 Grad";1;16,39;15;1029201070536;;nein;;
ventil;;CASSV156;"Solar-Sicherheitsventil 1/2""x6 bar";einsetzbar bis 160 Grad verchromt;1;21,81;14;7079056106000;;nein;;
formteil;uponor-mlc / 25-32mm / presse;UCPTR252020N;T-Stück Uponor reduziert S-Press PLUS;MLC 25 x 20 x 20mm;1;9,64;14;7074001063938;;nein;;
formteil;connect-inox / 22-28mm / presse;COCIT2822NL;CONNECT INOX HEAT T-Stück 28x22x28mm;1.4307 CONEL;2;8,65;12;7085930280000;;nein;;
formteil;"rotguss-gewinde / bis 3/4"" / gewinde";309220;"Winkel Rotguss i/a 90 Grad 3/4""";3092;3;5,31;11;1014053300000;Winkel aus RG/CuSi Nr.3092 R 1, mit I/A-Gewinde;ja;;
formteil;"unbekanntes_system / 1"" und groesser / gewinde";PV25I;"Pumpenverschraubung 1"" x 1 1/2"" IG";Temperguss m.Dichtung f.Heizungspumpen;3;7,54;9;1012931300000;;nein;;
formteil;connect-inox / 35mm und groesser / presse;COCIRS3528NL;CONNECT INOX HEAT Reduzierstück 35x28mm;1.4307 CONEL;2;5,89;8;7085941351000;;nein;;
formteil;prestabo-stahl / 22-28mm / presse;POVT2815;Prestabo-T-Stück 28 x 15 x 28mm;Stahl unlegiert,verzinkt, Pressanschluss;1;7,24;8;7020900558918;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";35301515R;Langnippel Rotguss;"1/2"" x 150mm 3530";1;13,44;8;1014036315000;;nein;;
daemmung;;COFW2220;CONEL FLEX WOOL Isolierschale 100%;22x22mm, mit alukaschierter Folie, 1m;2;2,02;8;1029988999086;;nein;;
rohr;;SPPR50200;Silent PP Rohr DN 50 mit 1 Muffe;Länge 2000mm Geberit;2;7,89;7;1009100050200;;nein;;
formteil;connect-inox / 22-28mm / gewinde;COCIUS2820ANL;CONNECT INOX HEAT Übergangsstück;"28 x 3/4"" AG 1.4307 CONEL";1;6,92;7;7085472283000;OptiSteel simplesta SH V Übergangsstück AG, d = 28 x R 1;ja;;
ungeklaert;;HVAA2020;"Hummel Verlängerung 30 mm G 3/4"" IG x";"G 3/4"" AG";1;3,73;7;1016358447311;;nein;;
formteil;"rotguss-gewinde / bis 3/4"" / gewinde";309020;"Winkel Rotguss i/i 90 Grad 3/4""";3090;2;7,13;7;1014011210000;;nein;;
ungeklaert;;CODA1005087;CONEL DRAIN Abzweig DN 100x50 87 Grad;;1;18,21;6;1009023100000;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";3530156R;"Langnippel Rotguss 1/2"" x 60mm";3530;2;4,56;6;1014036306000;Doppelnippel aus RG/CuSi blank DN 25 (R 1) x 60 mm, Mode;ja;;
ungeklaert;;CODA705087;CONEL DRAIN Abzweig DN 70x50 87 Grad;;1;14,67;5;1009022009000;;nein;;
formteil;"gewinde-schwarz / 1"" und groesser / gewinde";241S3225;"Reduzierstueck Nr.241 1 1/4"" x 1""";schwarz;2;1,52;2;1012561430000;;nein;;
formteil;b-press-kupfer / bis 18mm / gewinde;SPUS1515;Uebergangsstueck Sanpress/Profipress;"15mm x 1/2""AG, Rotguss,m.Pressanschluss";1;6,57;2;1016361180000;;nein;;
schelle_zubehoer;;SCHLSCH2032;Schlauchschelle Stahl 20-32mm;"f.Schlauchgr. Gummi 3/4""";1;0,96;0;1016735200000;;nein;;
