Gruppe;GUT-Nummer;Bezeichnung;Zusatz;Hersteller;Menge;zugeordneter EK;Warenwert;zugeordnete R+F-Nr;R+F-Nr mehrfach vergeben;Satz der Gruppe;Hebel auf den Satz;richtige R+F-Nummer;Bemerkung
ungeklaert;CODA1005087;CONEL DRAIN Abzweig DN 100x50 87 Grad;;RERE01;1;18,21;18;1009023100000;;;;;
sonstiges;VALL2409;VALL ISO-Bogen EPE/160/90;inkl. Verbinder, DN 160, 90 Grad;VASC01;1;17,37;17;1015165885205;;;;;
connect-inox / 22-28mm / presse;COCIT2822NL;CONNECT INOX HEAT T-Stück 28x22x28mm;1.4307 CONEL;RACA01;2;8,65;17;7085930280000;;3,81;0,69;;
uponor-mlc / 25-32mm / gewinde;UCPW2520N;Winkelnippel Uponor S-Press PLUS;"MLC 25 x 3/4"" AG 90 Grad";UNHA02;1;16,39;16;1029201070536;;11,24;0,01;;
rohr;SPPR50200;Silent PP Rohr DN 50 mit 1 Muffe;Länge 2000mm Geberit;GEPF01;2;7,89;16;1009100050200;;;;;
ungeklaert;CODA705087;CONEL DRAIN Abzweig DN 70x50 87 Grad;;RERE01;1;14,67;15;1009022009000;;;;;
"rotguss-gewinde / bis 3/4"" / gewinde";309020;"Winkel Rotguss i/i 90 Grad 3/4""";3090;VIAT01;2;7,13;14;1014011210000;;1,60;0,10;;
"rotguss-gewinde / 1"" und groesser / gewinde";35301515R;Langnippel Rotguss;"1/2"" x 150mm 3530";VIAT01;1;13,44;13;1014036315000;ja (2x);5,23;0,01;;
connect-inox / 35mm und groesser / presse;COCIRS3528NL;CONNECT INOX HEAT Reduzierstück 35x28mm;1.4307 CONEL;RACA01;2;5,89;12;7085941351000;ja (2x);9,07;-0,03;;
ventil;KKVV1K;Kermi Kv-Einsatz V1K;f.Ventile Einbauzeitraum von 1991-1993;KEPA02;1;11,39;11;1036826300000;;;;;
uponor-mlc / 25-32mm / presse;UCPTR252020N;T-Stück Uponor reduziert S-Press PLUS;MLC 25 x 20 x 20mm;UNHA02;1;9,64;10;7074001063938;;11,48;0,00;;
prestabo-stahl / 22-28mm / presse;POVT2815;Prestabo-T-Stück 28 x 15 x 28mm;Stahl unlegiert,verzinkt, Pressanschluss;VIAT01;1;7,24;7;7020900558918;;3,70;0,01;;
b-press-kupfer / bis 18mm / gewinde;SPUS1515;Uebergangsstueck Sanpress/Profipress;"15mm x 1/2""AG, Rotguss,m.Pressanschluss";VIAT01;1;6,57;7;1016361180000;;3,64;0,03;;
daemmung;COFW2220;CONEL FLEX WOOL Isolierschale 100%;22x22mm, mit alukaschierter Folie, 1m;LIRO03;2;2,02;4;1029988999086;ja (3x);;;;
ungeklaert;HVAA2020;"Hummel Verlängerung 30 mm G 3/4"" IG x";"G 3/4"" AG";HUWA01;1;3,73;4;1016358447311;;;;;
"gewinde-schwarz / 1"" und groesser / gewinde";241S3225;"Reduzierstueck Nr.241 1 1/4"" x 1""";schwarz;GCUN01;2;1,52;3;1012561430000;;1,42;0,00;;
schelle_zubehoer;SCHLSCH2032;Schlauchschelle Stahl 20-32mm;"f.Schlauchgr. Gummi 3/4""";SCWU02;1;0,96;1;1016735200000;;;;;
daemmung;CLALUEND30;Position gesperrt. Alu Endmanschettenband 30mm;blank Rolle a 10m;KAHO03;0;24,75;0;1005060450030;;;;;
daemmung;CLALUEND20SW;Position gesperrt. Alu Endmanschettenband 20mm;schwarz Rolle a 10m;KAHO03;0;21,13;0;1005060441030;;;;;
